precision,quantization,dtype,avg_latency_sec,p50_latency_sec,p95_latency_sec,sample_throughput_sps,token_throughput_tps,avg_token_throughput_tps,avg_decode_tps,avg_ttft_sec,avg_output_tokens,total_output_tokens,avg_infer_peak_vram_mb,max_infer_peak_vram_mb,avg_process_rss_mb,max_process_rss_mb,load_time_sec,load_peak_vram_mb,load_process_rss_mb,errors,successful_samples,failed_samples,num_batches,latency_speedup_vs_16bit,memory_saving_vs_16bit_pct,load_memory_saving_vs_16bit_pct
4bit,4bit,bitsandbytes-nf4,5.081844860041669,5.436495262000008,5.965517628400007,0.19677893118362538,37.79795303152138,38.016187885028266,0.0,5.081844860041669,192.08333333333334,4610.0,3004.0,3004.0,1820.94921875,1820.94921875,12.026756311,2996.0,1380.94921875,0,24,0,24,0.7765719967067846,50.36351619299405,50.43017868960953
8bit,8bit,bitsandbytes-int8,14.088180215250008,15.046551679999993,16.019477636200076,0.0709814883626724,14.012928827597577,14.09697975494789,0.0,14.088180215250008,197.41666666666666,4738.0,3403.5833333333335,3404.0,1872.640625,1872.640625,3.4476911849999965,3394.0,1868.140625,0,24,0,24,0.2801226524377362,43.754130865829474,43.84513567174057
16bit,none,float16,3.9464184099166695,4.251309693000053,4.457812802000035,0.2533943176139591,49.87644818368095,50.396338883800205,0.0,3.9464184099166695,196.83333333333334,4724.0,6052.0,6052.0,1909.4921875,1909.4921875,1.3010489489998918,6044.0,1909.4921875,0,24,0,24,1.0,0.0,0.0
