rank,train_samples,parse_ok_rate,exact_match_rate,action_match_rate,avg_latency_sec,avg_throughput_tps,avg_peak_vram_mb,max_peak_vram_mb,train_time_sec,train_time_min,final_loss,min_loss,min_loss_step,train_peak_vram_mb,train_peak_delta_vram_mb,model_output_dir,eval_report_path,train_log_path,eval_log_path
4,600,0.995,0.355,0.68,3.3611227482850428,24.371323003081557,6068.0,6068.0,4152.0,69.2,0.035,0.0253,485,7926.0,6557.0,output/qwen2.5-3b-genesis-lora-rank-4,experiments/06_exp2_lora_rank/reports/accuracy_report_rank_4.json,experiments/06_exp2_lora_rank/logs/rank_4_finetune.log,experiments/06_exp2_lora_rank/logs/rank_4_eval.log
8,600,0.985,0.32,0.665,3.192595708064973,26.021368219763467,6112.0,6112.0,2071.0,34.516666666666666,0.035,0.0253,485,7913.0,7518.0,output/qwen2.5-3b-genesis-lora-rank-8,experiments/06_exp2_lora_rank/reports/accuracy_report_rank_8.json,experiments/06_exp2_lora_rank/logs/rank_8_finetune.log,experiments/06_exp2_lora_rank/logs/rank_8_eval.log
16,600,0.995,0.325,0.65,3.2545585896950526,25.762458759479326,6198.0,6198.0,1912.0,31.866666666666667,0.035,0.0253,485,7897.0,7525.0,output/qwen2.5-3b-genesis-lora-rank-16,experiments/06_exp2_lora_rank/reports/accuracy_report_rank_16.json,experiments/06_exp2_lora_rank/logs/rank_16_finetune.log,experiments/06_exp2_lora_rank/logs/rank_16_eval.log
32,600,0.995,0.335,0.655,3.2209940101150276,25.490282598089312,6244.0,6244.0,3014.0,50.233333333333334,0.035,0.0253,485,7897.0,7537.0,output/qwen2.5-3b-genesis-lora-rank-32,experiments/06_exp2_lora_rank/reports/accuracy_report_rank_32.json,experiments/06_exp2_lora_rank/logs/rank_32_finetune.log,experiments/06_exp2_lora_rank/logs/rank_32_eval.log
64,600,0.995,0.33,0.635,3.1700865107749086,26.098762534838713,6616.0,6616.0,13450.0,224.16666666666666,0.035,0.0253,485,7898.0,7513.0,output/qwen2.5-3b-genesis-lora-rank-64,experiments/06_exp2_lora_rank/reports/accuracy_report_rank_64.json,experiments/06_exp2_lora_rank/logs/rank_64_finetune.log,experiments/06_exp2_lora_rank/logs/rank_64_eval.log
